Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,First octet,Second octet,Third octet,Fourth octet,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Location,Class
hushpuppiesoutlet.sk,NETIM,4.0,3.0,Let's Encrypt,61,196,196,53,223,1,0,0,0,0,0,41564,403,Apache/2,3.31,0.35,0.6,0.0,0.0,2,3,0,0,False,13,Latvia,1
refan-slovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,40,77,78,104,3,1,1,1,1,0,1,15685,200,Apache/2.4.25 (Debian),3.46,0.28,0.61,0.0,0.06,1,3,0,1,False,7,Czechia,1
floshoes.sk,Websupport s.r.o.,4.0,3.0,None,0,172,67,149,42,2,0,0,0,0,0,13335,0,None,2.85,0.27,0.64,0.0,0.0,2,2,0,0,False,5,None,1
mojetopanky.sk,AB Name ISP,3.0,1.0,Google Trust Services,36,104,21,50,237,2,1,1,1,0,0,13335,200,cloudflare,3.52,0.36,0.57,0.0,0.0,1,2,0,0,False,7,Canada,1
uggslovensko.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,74,104,21,58,221,2,0,0,0,0,0,13335,200,cloudflare,3.19,0.27,0.67,0.0,0.0,1,4,0,0,False,4,Canada,1
znalectrencin.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,84,31,15,10,61,1,0,0,1,0,0,25234,200,nginx,3.45,0.25,0.69,0.0,0.0,1,3,0,0,False,8,Czechia,1
niketeniskysk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,53,196,196,13,226,1,0,0,0,0,0,63119,200,Apache,2.83,0.31,0.62,0.0,0.0,1,2,0,0,False,9,Germany,1
aviabratislava.sk,NETIM,4.0,3.0,Let's Encrypt,59,196,196,53,221,1,0,0,0,0,0,41564,403,Apache/2,3.05,0.41,0.53,0.0,0.0,2,2,0,0,False,10,Latvia,1
nikejordanssk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,74,165,231,91,93,1,0,0,0,0,0,58065,200,Apache,3.28,0.25,0.69,0.0,0.0,1,4,0,0,False,9,France,1
topankysalomon.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,64,196,245,153,237,1,0,0,0,0,0,41564,200,Apache,3.34,0.35,0.59,0.0,0.0,1,2,0,0,False,10,Slovakia,1
marcjacobskabelka.sk,"WebHouse, s.r.o.",2.0,1.0,Google Trust Services,73,104,21,55,167,2,0,0,0,0,0,13335,403,cloudflare,3.38,0.3,0.65,0.0,0.0,1,3,0,0,False,11,Canada,1
puma-slovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,71,158,222,2,14,1,0,0,0,0,0,63119,200,Apache,3.57,0.29,0.59,0.0,0.06,1,3,0,1,False,6,United States,1
caterpillar-slovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,43,165,231,180,33,1,0,0,0,0,0,58065,200,Apache,3.77,0.29,0.62,0.0,0.04,1,3,0,1,False,13,Estonia,1
hollistersk.sk,Gransy s.r.o.,3.0,3.0,None,0,165,231,64,69,1,0,0,0,0,0,48950,403,Apache,3.18,0.21,0.71,0.0,0.0,1,3,0,0,False,6,Germany,1
