Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
b10.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,49,1355934778,1,1,1,1,1,212531,200,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.3.33,2.58,0.0,0.5,0.33,0.0,0,2,2,0,False,5,False,False,Lithuania,0
floshoes.sk,Websupport s.r.o.,4.0,3.0,None,0,1746225100,2,0,0,0,0,13335,0,None,2.85,0.27,0.64,0.0,0.0,2,2,0,0,False,10,True,False,None,1
baliksro.sk,"Webglobe, a.s.",4.0,4.0,None,21,3560513691,1,1,1,1,1,48689,200,nginx,3.1,0.27,0.64,0.0,0.0,1,3,0,0,False,10,False,False,Slovakia,0
branomurin.sk,"WebHouse, s.r.o.",4.0,3.0,None,0,3281128071,1,1,1,0,0,34820,200,Apache,3.39,0.31,0.62,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,0
marekbalag-trans.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,84,621391749,1,1,1,0,0,51013,200,openresty,3.51,0.26,0.63,0.0,0.05,1,2,0,1,False,18,False,False,Slovakia,0
battery-import.sk,ZONER s.r.o.,4.0,3.0,ZeroSSL,8,3108035365,1,0,1,0,0,43541,200,nginx,3.69,0.29,0.59,0.0,0.06,1,2,0,1,False,16,False,False,Czechia,0
sorea.sk,"SWAN, a. s.",4.0,3.0,ZeroSSL,72,778424823,1,1,1,0,1,14061,200,nginx,2.75,0.38,0.5,0.0,0.0,2,2,0,0,False,7,False,False,Germany,0
360googlefoto.sk,Websupport s.r.o.,3.0,1.0,Let's Encrypt,65,621391749,1,1,1,0,0,51013,200,openresty,3.38,0.31,0.44,0.19,0.0,2,2,3,0,False,15,False,False,Slovakia,1
tatrabanka.sk-mk.com,None,None,None,Google Trust Services,65,1746222771,2,0,0,0,0,13335,0,None,3.38,0.25,0.6,0.0,0.05,1,2,0,1,False,19,False,False,Canada,1
liptov.sk,"WebHouse, s.r.o.",4.0,2.0,Let's Encrypt,89,1833603102,1,0,1,0,0,29405,200,nginx,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
avion.sk,Corporation Service Company (DBS) GmbH,4.0,3.0,Google Trust Services,65,1746014592,2,1,1,0,1,13335,200,cloudflare,3.0,0.38,0.5,0.0,0.0,2,2,0,0,False,7,False,False,Canada,0
bratislava-rusovce.sk,Marián Butowski,4.0,1.0,Let's Encrypt,64,786821095,1,1,1,0,0,29405,200,nginx,3.75,0.33,0.57,0.0,0.05,1,2,0,1,False,20,True,False,Slovakia,0
hotelthermal.sk,Smartweb s.r.o.,4.0,3.0,Let's Encrypt,18,621391773,3,1,1,1,0,51013,200,openresty,3.37,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Slovakia,0
babickarstvo.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,40,3641749797,1,1,1,0,1,43541,200,nginx,3.37,0.27,0.67,0.0,0.0,1,4,0,0,False,14,False,False,Czechia,0
imrich.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,54,3248704796,1,1,1,1,1,29405,200,nginx,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
belvedent.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,9,621391811,1,1,1,1,1,51013,200,openresty,3.19,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Slovakia,0
bbderma.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,74,621391813,1,1,1,0,0,51013,200,openresty,3.12,0.2,0.7,0.0,0.0,1,3,0,0,False,9,False,False,Slovakia,0
autoskolasmart.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,75,2342689916,1,1,1,0,0,63949,200,nginx/1.22.0 (Ubuntu),3.18,0.35,0.59,0.0,0.0,2,2,0,0,False,16,False,False,Germany,0
guessonlineshop.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,40,3301231658,1,0,0,0,0,58065,200,Apache,3.39,0.33,0.61,0.0,0.0,2,2,0,0,False,17,True,False,Finland,1
heureka.sk,"Webglobe, s.r.o.",4.0,3.0,Google Trust Services,80,1746018684,2,1,1,0,1,13335,403,cloudflare,2.92,0.4,0.5,0.0,0.0,2,2,0,0,False,9,False,False,Canada,0
